ID,Priority,Augment_Name,Category,Rarity,Affected_Stats,Description,Sprite_path,WhoImplements,TargetTypes
1,0,Melee attack increase and defense decrease,Player,"Common, Rare, Epic","damage*1.1,currentArmor*0.8",Perk increases melee attack by 10% and decreases physical damage defense by 10%,Resources/Sprites/Augments/1,Patryk,"Weapon,Player"
2,0,Unlocked melee,Player,Epic,NULL,Unlocked melee attack,Resources/Sprites/Augments/2,Kuba,Player
3,0,Obstacles generation,Map,Epic,NULL,Unlocked obstacles generation,Resources/Sprites/Augments/3,Patryk,Global
4,0,Unlocked obstacle drawer,Player,"Epic",NULL,Unlocked obstacle drawer,Resources/Sprites/Augments/4,Kuba,Player
5,0,Tower damage increase,Tower,"Common, Rare, Epic",tower_damage+5,Increased tower attack,Resources/Sprites/Augments/5,Kuba,Tower
6,0,Berserker's Fury,Player,Legendary,player_damage_stack_kill*1.02,Player attack increases by 2% for each enemy killed resets on taking damage,Resources/Sprites/Augments/6,Kuba,Player
7,0,Rapid Fire,Player,Epic,"attackCooldown*0.714,damage*0.85",Increases player attack speed by 40% decreases damage by 15%,Resources/Sprites/Augments/7,Kuba,Player
8,0,Lifesteal,Player,Epic,lifesteal_percentage=0.15,Player heals for 15% of damage dealt,Resources/Sprites/Augments/8,Kuba,Player
9,0,Armor Plating,Player,Common,currentArmor*1.2,Reduces all incoming damage by 20%,Resources/Sprites/Augments/9,Patryk,Player
10,0,Regeneration,Player,Epic,healthRegenRate+0.02,Slowly heal 2% max health per second when not taking damage,Resources/Sprites/Augments/10,Patryk,Player
11,0,Immunity Phases,Player,Legendary,NULL,Become immune to damage for 2 seconds after taking a hit (15s cooldown),Resources/Sprites/Augments/11,Kub,Player
12,0,Damage Reflection,Player,Rare,reflection_percentage=0.30,Reflect 30% of received damage back to attackers,Resources/Sprites/Augments/12,Kuba,Player
13,0,Ice Armor,Player,Epic,ice_armor_duration=3,Freeze enemy attackers for 3 seconds when hit,Resources/Sprites/Augments/13,Kuba,Player
14,0,Speed Boost,Player,Common,moveSpeed*1.3,+30% movement speed permanently,Resources/Sprites/Augments/14,Patryk,Player
15,0,Magnetic Field,Player,Epic,collectionRadius*1.5,Automatically collect resources within larger radius,Resources/Sprites/Augments/15,Kuba,Player
16,0,Freeze Ray,Tower,Epic,tower_freeze_chance=0.2,20% chance to freeze enemies for 2 seconds,Resources/Sprites/Augments/16,Kuba,Tower
17,0,Tower Healing,Tower,Rare,tower_health_regen+0.1,Towers slowly regenerate health over time,Resources/Sprites/Augments/17,Kuba,Tower
18,0,Overcharge,Tower,Epic,"tower_damage*1.08,tower_energy_cost*1.03",Towers deal 8% more damage but consume 3% more energy to fire,Resources/Sprites/Augments/18,Kuba,Tower
19,0,Rough Terrain,Map,Rare,"MoveSpeed*0.8,towerBuildCost*1.3",Enemies move slower but towers cost more,Resources/Sprites/Augments/19,Patryk,Enemy
20,0,Generator Abundance,Tower,Common,energyGenerationRate*1.15,15% more resource generation from Generator Towers,Resources/Sprites/Augments/20,Kuba,Tower
21,0,Scavenger's Paradise,Map,Rare,resource_generation*1.05,Defeating enemies yields 5% extra resources,Resources/Sprites/Augments/21,Kuba,Global
22,0,Economic Crisis,Map,Epic,"towerBuildCost*1.3,repairCostPerClick*1.3,globalResourceMultiplier*1.2",All costs increased by 30% and rewards by 20%,Resources/Sprites/Augments/22,Kuba,Global
23,0,Recycling Plant,Map,Common,towerSellRefundPercentage*1.3,Destroyed towers return 30% of their cost,Resources/Sprites/Augments/23,Kuba,Global
24,0,Symbiosis,Synergy,Legendary,proximity_tower_damage*1.2,Player presence near towers increase towers attack by 20%,Resources/Sprites/Augments/24,Kuba,Player
25,0,Tower Commander,Synergy,Rare,tower_energy_decay*0.7,Player presence near towers decrease constant natural energy decay by 30%,Resources/Sprites/Augments/25,Kuba,Tower
26,2,Environmental Mastery,Synergy,Epic,NULL,Player can activate map effects manually,Resources/Sprites/Augments/26,Patryk,
27,0,Escalation,Stack,Common,escalation_multiplier=1.02,Each wave cleared increases all damage by 2% (stacks infinitely),Resources/Sprites/Augments/27,Kuba,Player
28,0,Momentum,Stack,Rare,"momentum_health=1.03,momentum_damage=1.03",Consecutive kills without taking damage increase health and attack by 3%,Resources/Sprites/Augments/28,Kuba,Player
29,1,Friendly Fire,Special,Epic,"enemy_infighting_chance=0.5,enemy_infighting_duration=30",1 Random enemy attacks other enemies for 20 seconds (30s cooldown),Resources/Sprites/Augments/29,Kuba,Global
30,1,God Mode,Special,Legendary,"temporary_invincibility*1, max_health_reduction*0.96",Temporary invincibility for 60 seconds but permanently reduces max health afterward by 4%,Resources/Sprites/Augments/30,Patryk,
31,0,Player damage boost,Player,"Common, Rare, Epic, Legendary",damage*1.15,Increases player attack damage by 5%,Resources/Sprites/Augments/31,Patryk,Player
32,0,Player health increase,Player,"Common, Rare, Epic",maxHealth*1.25,Increases player maximum health by 15%,Resources/Sprites/Augments/32,Patryk,Player
33,0,Faster movement,Player,"Common, Rare, Epic",player_movement_speed*1.2,Increases player movement speed by 20%,Resources/Sprites/Augments/33,Patryk,Player
34,0,Health on kill,Player,Epic,health_per_kill=20,Restore 20 health points for each enemy killed,Resources/Sprites/Augments/34,Kuba,Player
35,0,Damage resistance,Player,Rare,player_armor*1.15,Reduces incoming damage by 15%,Resources/Sprites/Augments/35,Patryk,
36,0,Resource finder,Player,Rare,bonusResourceDropChance+0.2,Plus 20% chance enemies drop double resources when killed,Resources/Sprites/Augments/36,Kuba,Global
37,0,Quick revive,Player,Legendary,NULL,Instantly revive with 50% health when killed (once per wave),Resources/Sprites/Augments/37,Kuba,
38,0,Stamina boost,Player,"Common, Rare, Epic",maxStamina*1.2,Increases stamina capacity by 20%,Resources/Sprites/Augments/38,Patryk,Player
39,0,Tower damage increase,Tower,"Common, Rare",tower_damage*1.1,Increases all tower damage by 10%,Resources/Sprites/Augments/39,Kuba,Tower
40,0,Tower range boost,Tower,Common,tower_range*1.15,Increases all tower projectile range by 15%,Resources/Sprites/Augments/40,Kuba,Tower
41,0,Faster tower firing,Tower,Rare,tower_fire_rate*1.15,Increases tower firing speed by 15%,Resources/Sprites/Augments/41,Kuba,Tower
42,0,Tower health boost,Tower,Common,tower_max_health*1.15,Increases tower maximum health by 15%,Resources/Sprites/Augments/42,Kuba,Tower
43,0,Cheaper tower construction,Tower,Rare,towerBuildCost*0.85,Reduces tower construction costs by 15%,Resources/Sprites/Augments/43,Kuba,Global
44,0,Tower repair efficiency,Tower,Rare,tower_repair_cost*0.8,Tower repairs cost 20% less resources,Resources/Sprites/Augments/44,Kuba,Global
45,2,Tower targeting priority,Tower,Common,NULL,Towers automatically target closest enemies first,Resources/Sprites/Augments/45,Kuba,
46,0,Reinforced towers,Tower,Rare,tower_armor+0.05,Towers take 5% less damage from enemy attacks,Resources/Sprites/Augments/46,Kuba,Tower
47,0,Tower energy efficiency,Tower,Epic,"tower_energy_consumption*0.8,globalEnergyDecayRate*0.8","Towers consume 20% less energy",Resources/Sprites/Augments/47,Kuba,"Tower,Global"
48,0,Basic energy boost,Energy,Common,energy_generation_rate*1.2,Increases base energy generation by 20%,Resources/Sprites/Augments/48,Kuba,Tower
49,0,Energy cost reduction,Energy,Rare,"towerBuildCost*0.8,tower_energy_consumption*0.8,tower_repair_cost*0.8","All energy-consuming actions cost 20% less",Resources/Sprites/Augments/49,Kuba,"Tower,Global"
50,0,Overclocked generators,Energy,Epic,"energy_generation_rate*1.3,generatorSelfConsumption*1.2",Generators produce 30% more energy but wear out 20% faster,Resources/Sprites/Augments/50,Kuba,Tower
51,2,Smart energy management,Energy,Rare,NULL,Automatically optimizes energy distribution to most critical systems,Resources/Sprites/Augments/51,Kuba,
52,0,Enemy slowdown,Enemy,Common,MoveSpeed*0.85,All enemies move 15% slower,Resources/Sprites/Augments/52,Kuba,Enemy
53,0,Weaker enemy spawns,Enemy,Rare,Damage*0.85,All enemies deal 20% less damage,Resources/Sprites/Augments/53,Kuba,Enemy
54,0,Reduced enemy health,Enemy,Common,MaxHealth*0.75,All enemies have 25% less maximum health,Resources/Sprites/Augments/54,Kuba,Enemy
55,0,Delayed enemy waves,Enemy,Rare,wave_spawn_delay+15,Each wave starts 15 seconds later,Resources/Sprites/Augments/55,Kuba,Global
56,0,Enemy supply shortage,Enemy,Common,enemy_spawn_count*0.9,10% fewer enemies spawn per wave,Resources/Sprites/Augments/56,Kuba,Global
57,0,Resource deposits,Map,Common,resource_node_count=3,Adds 3 additional resource collection points to the map,Resources/Sprites/Augments/57,Kuba,Global
58,0,Favorable terrain,Map,Rare,additional_tower_rings+1,Additional outer ring for tower placement,Resources/Sprites/Augments/58,Kuba,Global
59,0,Tower synergy boost,Synergy,Rare,adjacent_tower_damage*1.15,Towers get 15% damage bonus when built near each other,Resources/Sprites/Augments/59,Kuba,Tower
60,0,Player tower coordination,Synergy,Epic,"currentArmor+10,armorReduction+0.10",Player and nearby towers both get +10 and 10% armor boost respectively,Resources/Sprites/Augments/60,Kuba,"Tower,Player"
61,0,Energy tower efficiency,Synergy,Common,tower_near_generator_efficiency*0.8,Towers near energy generators consume 20% less power,Resources/Sprites/Augments/61,Kuba,
62,0,Starting resource boost,Economy,Common,current_energy*1.50,Get 50% additional energy,Resources/Sprites/Augments/62,Kuba,Global
63,1,Cost reduction,Economy,Rare,{all_purchase_costs: -0.15},All purchases cost 15% less,Resources/Sprites/Augments/63,Patryk,
64,0,Auto-collect resources,Utility,Rare,collectionRadius*3.0,Automatically collects nearby resources without manual interaction,Resources/Sprites/Augments/64,Kuba,Player
65,0,Unlocked grappling hook,Player,Rare,NULL,Unlocked grappling hook weapon,Resources/Sprites/Augments/65,Kuba,
66,0,Unlocked ranged weapon,Player,Rare,NULL,Unlocked ranged weapon,Resources/Sprites/Augments/66,Kuba,
67,0,Adrenaline Rush,Player,Rare,"adrenaline_health_threshold=0.30,adrenaline_duration=15,adrenaline_cooldown=30,adrenaline_attack_speed=0.50,adrenaline_move_speed=0.50",When health drops below 30% - gain massive speed and attack rate for 15 seconds with 30 seconds cooldown,Resources/Sprites/Augments/67,Patryk,Player
68,0,Berserker Mode,Player,Epic,"berserker_damage_per_missing_health=0.02,berserker_defense_penalty=0.25",Gain 2% damage for every 1% health missing but lose 25% defense,Resources/Sprites/Augments/68,Kuba,Player
69,1,Combat Medic,Player,Epic,tower_energy_heal*1.30,Player can heal damaged towers at increased efficiencies,Resources/Sprites/Augments/69,Kuba,
70,0,Scrap Collector,Player,Common,"globalResourceMultiplier*1.20,towerSellRefundPercentage*1.20",Collect 20% more scrap materials from destroyed enemies and structures,Resources/Sprites/Augments/70,Kuba,Global
71,0,Energy Vampire Touch,Player,Epic,player_energy_drain+2,Drain 2 energy from enemies on successful melee attacks,Resources/Sprites/Augments/71,Kuba,Player
72,0,Energy Scavenging,Energy,Rare,energy_scavenging_amount+5,Gain 5 energy units for each enemy destroyed near Generators,Resources/Sprites/Augments/72,Kuba,Global
73,1,Core Shield Matrix,Central Core,Epic,core_shield+200,Provide energy-based shield with 200 hit points protecting the Central Core,Resources/Sprites/Augments/73,Kuba,Global
74,0,Core Repair Systems,Central Core,Rare,core_regen_rate+0.5,Core stops decaying and regenerates 0.5 energy per second after 30 seconds without getting damaged,Resources/Sprites/Augments/74,Kuba,Global
75,0,Core Energy Siphon,Central Core,Rare,core_energy_from_attacks*0.20,Core gains energy from enemy attacks converting 20% damage to Central Core health energy,Resources/Sprites/Augments/75,Kuba,Global
76,0,Pheromone Control,Player,Epic,player_enemy_confusion_aura=0.15,Nearby enemies have 15% chance to ignore you or attack each other,Resources/Sprites/Augments/76,Kuba,Player
77,0,Grappling Hook Damage,Player,"Rare, Epic, Legendary",grappling_hook_damage=15,Grappling Hook deals damage when shot at the enemy,Resources/Sprites/Augments/77,Kuba,Player
78,0,Increased Shield Defenses,Player,"Rare, Epic, Legendary",{player_damage: -0.15},Reduce incoming damage to the Player by 15%,Resources/Sprites/Augments/78,Patryk,
79,1,Lightning on dodge,Player,Legendary,lightning_dodge_damage=0.8,Row of lightning after dodge on the ground dealing 80% of base damage,Resources/Sprites/Augments/79,Kuba,Player
80,1,Fire on dodge,Player,Legendary,"fire_dodge_damage=0.2,fire_dodge_dot=0.05,fire_dodge_duration=10",Row of fire after dodge on the ground with 20% initial damage plus 5% damage over time per second for 10 seconds,Resources/Sprites/Augments/80,Kuba,Player
81,1,Unlock Shield,Player,Epic,NULL,Unlocks the Shield as an equippable weapon,Resources/Sprites/Augments/81,Kuba,Player
82,1,Multi-Shot,Tower,Rare,{tower_projectile_count: 2},Towers fire 2 additional projectiles at reduced damage,Resources/Sprites/Augments/82,Kuba,
83,1,Poison Coating,Tower,Common,"{tower_poison_damage_per_second: 0.05, tower_poison_duration: 8}",Tower attacks apply poison DoT (5% damage/sec for 8 seconds),Resources/Sprites/Augments/83,Kuba,
84,1,Critical Towers,Tower,Epic,{tower_crit_chance: 0.15},15% chance for towers to deal 300% damage,Resources/Sprites/Augments/84,Kuba,
85,1,Explosive Shells,Tower,Rare,{tower_explosion_radius: 1.5},Tower projectiles explode for area damage,Resources/Sprites/Augments/85,Kuba,
86,1,Extended Range,Tower,Common,{tower_range: 0.4},+40% tower range,Resources/Sprites/Augments/86,Kuba,
87,1,Sniper Mode,Tower,Epic,"{tower_range: 1.0, tower_attack_speed: -0.6}",Towers gain massive range but attack much slower,Resources/Sprites/Augments/87,Kuba,
88,1,Power Surge,Energy,Epic,NULL,Periodically generates 200% energy for 10 seconds,Resources/Sprites/Augments/88,Kuba,
89,1,Earthquake Zones,Map,Epic,NULL,Periodic tremors damage towers and stun enemies,Resources/Sprites/Augments/89,Patryk,
90,1,Resource Magnet,Synergy,Rare,NULL,Player movement generates energy for nearby generators,Resources/Sprites/Augments/90,Patryk,
91,1,Splash damage towers,Tower,Epic,{tower_splash_radius: 1.0},Towers deal splash damage in small radius,Resources/Sprites/Augments/91,Kuba,
92,1,Trade routes,Map,Rare,{passive_resource_income: 0.25},Generates 25% additional passive resource income,Resources/Sprites/Augments/92,Patryk,
93,1,Unlocked flamethrower,Player,"Rare, Epic, Legendary",NULL,Unlocked flamethrower weapon,Resources/Sprites/Augments/93,Patryk,
94,1,Unlocked portable obstacles,Player,"Rare, Epic, Legendary",NULL,Unlocked portable obstacles,Resources/Sprites/Augments/94,Patryk,
95,1,Modular Construction,Tower,Common,{tower_build_flexibility: 1.0},Towers can be quickly disassembled and rebuilt in new locations,Resources/Sprites/Augments/95,Kuba,
96,1,Self-Destruct Protocol,Tower,Legendary,{tower_destruction_damage: 5.0},Critically damaged towers can detonate dealing massive area damage,Resources/Sprites/Augments/96,Kuba,
97,1,Overclocking Modules,Energy,Epic,"{energy_output: 0.90, generator_lifespan: -0.30}",Generators produce 90% more energy but wear out 30% faster,Resources/Sprites/Augments/97,Kuba,
98,1,Core Weapon Systems,Central Core,Legendary,{core_offensive_capability: 1.0},Core can actively attack enemies with powerful integrated weapons,Resources/Sprites/Augments/98,Kuba,
99,2,Data Backup Systems,Central Core,Rare,{core_memory_protection: 1.0},Preserve all research and upgrades even if core is destroyed,Resources/Sprites/Augments/99,Kuba,
100,1,Symbiotic Armor,Player,Epic,{player_adaptive_resistance: 0.30},Armor adapts providing 30% resistance to most recent damage type received,Resources/Sprites/Augments/100,Patryk,
