ID,Priority,Augment_Name,Category,Rarity,Affected_Stats,Description
1,0,Melee attack increase and defense decrease,Player,"Common, Epic","{player_attack: 0.1, player_physical_defense: -0.1}",Perk increases melee attack by 10% and decreases physical damage defense by 10%
2,0,Unlocked melee,Player,Epic,NULL,Unlocked melee attack
3,0,Obstacles generation,Map,Epic,NULL,Unlocked obstacles generation
4,0,More obstacles,Map,"Epic, Rare",NULL,Unlocked more obstacles
5,0,Even More Obstacles,Map,"Rare, Epic",NULL,Unlocked even more obstacles
6,0,Tower melee damage increase,Tower,"Common, Rare, Epic",{tower_attack: 0.1},Increased tower attack
7,0,Berserker's Fury,Player,Legendary,{player_attack_stack: 0.02},Player attack increases by 2% for each enemy killed resets on taking damage
8,0,Rapid Fire,Player,Epic,"{player_attack_speed: 0.4, player_attack: -0.15}",Increases player attack speed by 40% decreases damage by 15%
9,0,Lifesteal,Player,Epic,{player_health: 0.15*player_attack},Player heals for 15% of damage dealt
10,0,Armor Plating,Player,Common,{player_damage_reduction: 0.2},Reduces all incoming damage by 20%
11,0,Regeneration,Player,Epic,{player_health_regen_per_second: 0.02},Slowly heal 2% max health per second when not taking damage
12,0,Immunity Phases,Player,Legendary,NULL,Become immune to damage for 2 seconds after taking a hit (15s cooldown)
13,0,Damage Reflection,Player,Rare,{player_damage_reflection: 0.3},Reflect 30% of received damage back to attackers
14,0,Armor upgrade,Player,Epic,{player_armor: 1.25},Player gets more armor
15,0,Speed Boost,Player,Common,{player_movement_speed: 0.3},+30% movement speed permanently
16,0,Magnetic Field,Player,Epic,{player_resource_collection_radius: 0.5},Automatically collect resources within larger radius
17,0,Freeze Ray,Tower,Epic,{tower_freeze_chance: 0.2},20% chance to freeze enemies for 2 seconds
18,0,Tower Healing,Tower,Rare,{tower_health_regen: 0.01},Towers slowly regenerate health over time
19,0,Overcharge,Tower,Epic,"{tower_attack: 0.5, tower_energy_cost: 1}",Towers deal +50% damage but consume energy to fire
20,0,Rough Terrain,Map,Rare,"{enemy_movement_speed: -0.2, tower_cost: 0.3}",Enemies move slower but towers cost more
21,0,Resource Abundance,Map,Common,{resource_generation: 0.25},+25% resource generation from all sources
22,0,Scavenger's Paradise,Map,Rare,{enemy_kill_resources: 0.4},Defeating enemies yields extra resources
23,0,Economic Crisis,Map,Epic,"{all_costs: 0.3, all_rewards: 1.0}",All costs increased by 30% but rewards doubled
24,0,Recycling Plant,Map,Common,{tower_destroy_refund: 0.5},Destroyed towers return 50% of their cost
25,0,Symbiosis,Synergy,Legendary,{player_tower_damage_sharing: 0.25},Player and towers share 25% of their damage bonuses
26,0,Tower Commander,Synergy,Rare,{player_tower_proximity_boost: 0.2},Player presence near towers boosts their effectiveness
27,2,Environmental Mastery,Synergy,Epic,NULL,Player can activate map effects manually
28,0,Escalation,Stack,Common,{damage_per_wave: 0.02},Each wave cleared increases all damage by 2% (stacks infinitely)
29,0,Momentum,Stack,Rare,"{player_health: 0.03, player_attack: 0.03}",Consecutive kills without taking damage increase health and attack by 3%
30,0,Friendly Fire,Special,Epic,{enemy_infighting_chance: 0.1},Enemies occasionally attack each other with 10% chance
31,0,God Mode,Special,Legendary,"{temporary_invincibility: 1, max_health_reduction: -0.2}",Temporary invincibility for 60 seconds but permanently reduces max health afterward by 20%
32,0,Player damage boost,Player,"Common, Rare, Epic, Legendary",{player_attack: 0.15},Increases player attack damage by 5%
33,0,Player health increase,Player,"Common, Rare, Epic",{player_max_health: 0.25},Increases player maximum health by 15%
34,0,Faster movement,Player,"Common, Rare, Epic",{player_movement_speed: 0.20},Increases player movement speed by 20%
35,0,Health on kill,Player,Epic,{player_health_per_kill: 5},Restore 5 health points for each enemy killed
36,0,Damage resistance,Player,Rare,{player_damage_resistance: 0.15},Reduces incoming damage by 15%
37,0,Resource finder,Player,Rare,{player_resource_drop_chance: 0.30},30% chance enemies drop extra resources when killed
38,0,Quick revive,Player,Legendary,NULL,Instantly revive with 50% health when killed (once per wave)
39,0,Stamina boost,Player,"Common, Rare, Epic",{player_stamina: 0.20},Increases stamina capacity by 20%
40,0,Tower damage increase,Tower,"Common, Rare",{tower_damage: 0.20},Increases all tower damage by 20%
41,0,Tower range boost,Tower,Common,{tower_range: 0.25},Increases all tower range by 25%
42,0,Faster tower firing,Tower,Rare,{tower_fire_rate: 0.35},Increases tower firing speed by 35%
43,0,Tower health boost,Tower,Common,{tower_max_health: 0.30},Increases tower maximum health by 30%
44,0,Cheaper tower construction,Tower,Rare,{tower_build_cost: -0.25},Reduces tower construction costs by 25%
45,0,Tower repair efficiency,Tower,Rare,{tower_repair_cost: -0.40},Tower repairs cost 40% less resources
